experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
404_fold_d16_cfg21_s4096,fold_test,"11,13,16",signal_cnn_bilstm_attn,4096,clean,0.7899999999999999,92.29406554472985,0.0,0.9140012870519942,0.0,0.9248807930935322,0.0,1129.0,1
404_fold_d16_cfg21_s4096,fold_test,"11,13,16",signal_cnn_bilstm_attn,4096,10.0,0.7899999999999999,92.61883672866844,0.041754164817623646,0.9178166973417158,0.0004894004860494225,0.9281088745468143,0.00041458989552838304,1129.0,3
404_fold_d16_cfg21_s4096,fold_test,"11,13,16",signal_cnn_bilstm_attn,4096,5.0,0.7899999999999999,92.2350162385592,0.041754164817623646,0.9134158497191182,0.0004163954500757186,0.9243291722735564,0.00039032815045027903,1129.0,3
404_fold_d16_cfg21_s4096,fold_test,"11,13,16",signal_cnn_bilstm_attn,4096,0.0,0.7899999999999999,92.70741068792442,0.11047113630864616,0.9165168029899146,0.001555722584198891,0.9281641500922791,0.0011919756641870253,1129.0,3
404_fold_d16_cfg21_s4096,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,4096,clean,0.7899999999999999,94.06952965235173,0.0,0.9406766622680072,0.0,0.9407519159921831,0.0,1467.0,1
404_fold_d16_cfg21_s4096,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,4096,10.0,0.7899999999999999,94.2285844126335,0.06426782832870848,0.9422707819060373,0.0006440697032122774,0.9423374710004991,0.0006406495383800518,1467.0,3
404_fold_d16_cfg21_s4096,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,4096,5.0,0.7899999999999999,93.75142013178822,0.17003669105994185,0.9374924679813,0.001701264699937291,0.9375758421283771,0.001698401100922975,1467.0,3
404_fold_d16_cfg21_s4096,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,4096,0.0,0.7899999999999999,93.04703476482617,0.1472560940333494,0.9302386497496377,0.001500354075261176,0.9305260069500925,0.0014796857802552024,1467.0,3
404_fold_d16_cfg21_s4096,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,4096,clean,0.7899999999999999,98.21587867975022,0.0,0.9801701019621163,0.0,0.9822708253797775,0.0,1121.0,1
404_fold_d16_cfg21_s4096,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,4096,10.0,0.7899999999999999,98.09693725840025,0.11125951194689106,0.97875805511813,0.0012466878735161646,0.981050759101273,0.001109892037025904,1121.0,3
404_fold_d16_cfg21_s4096,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,4096,5.0,0.7899999999999999,97.26434730895035,0.1516211571095112,0.9691119651145942,0.0017287631089875192,0.9726057798705122,0.0015258493018157125,1121.0,3
404_fold_d16_cfg21_s4096,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,4096,0.0,0.7899999999999999,96.104668450788,0.11125951194689232,0.9554252356385144,0.001359937986925398,0.960720435631206,0.0011625531340880443,1121.0,3
