experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
404_fold_d17_cfg21_s3407,fold_test,"11,13,17",signal_cnn_bilstm_attn,3407,clean,0.82,96.26334519572953,0.0,0.9570265989404119,0.0,0.963213471234904,0.0,1124.0,1
404_fold_d17_cfg21_s3407,fold_test,"11,13,17",signal_cnn_bilstm_attn,3407,10.0,0.82,49.970344009489914,0.27501834209655024,0.4944671870273141,0.0030611267972553255,0.47396790260458826,0.0037371919301931434,1124.0,3
404_fold_d17_cfg21_s3407,fold_test,"11,13,17",signal_cnn_bilstm_attn,3407,5.0,0.82,35.02372479240807,0.08387980796993387,0.30647886417518505,0.0012064579572655743,0.23704525009643382,0.001558821221193964,1124.0,3
404_fold_d17_cfg21_s3407,fold_test,"11,13,17",signal_cnn_bilstm_attn,3407,0.0,0.82,32.76986951364176,0.15121647430583526,0.27324265259902214,0.0022870427667086896,0.19395184906711624,0.0029753148328632907,1124.0,3
404_fold_d17_cfg21_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,clean,0.82,97.13701431492842,0.0,0.9713172448466566,0.0,0.9714054086843693,0.0,1467.0,1
404_fold_d17_cfg21_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,10.0,0.82,62.30402181322427,0.2550550365899058,0.5842600947834692,0.003523728011918072,0.5751722784705843,0.0036763998421303437,1467.0,3
404_fold_d17_cfg21_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,5.0,0.82,50.17041581458759,0.09640174249305268,0.39076611972990144,0.0017932318887765757,0.37215852068009275,0.0018901256683051275,1467.0,3
404_fold_d17_cfg21_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,0.0,0.82,48.443535560099974,0.08501834552996838,0.35784807393620083,0.0016635671111726398,0.33744139555028124,0.0017555473429274803,1467.0,3
404_fold_d17_cfg21_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,clean,0.82,98.21587867975022,0.0,0.9798009283284321,0.0,0.9821095364900543,0.0,1121.0,1
404_fold_d17_cfg21_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,10.0,0.82,63.87154326494201,0.31748671579040255,0.6386830992390625,0.003211615214124069,0.6377428953155445,0.0038703214898837745,1121.0,3
404_fold_d17_cfg21_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,5.0,0.82,40.08325899494499,0.18330104082571952,0.3605495850046579,0.0028209634537963687,0.306862792324286,0.003600782773137177,1121.0,3
404_fold_d17_cfg21_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,0.0,0.82,37.94231341064526,0.336417142402163,0.32777540055650306,0.005046745445079048,0.2654492386391606,0.006311647131475504,1121.0,3
