experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
501_fold_d16_cfg21_s2026,fold_test,"11,13,16",pirnet_dual_branch,2026,clean,0.7599999999999999,92.02834366696192,0.0,0.9116459368087149,0.0,0.9224856321015776,0.0,1129.0,1
501_fold_d16_cfg21_s2026,fold_test,"11,13,16",pirnet_dual_branch,2026,10.0,0.7599999999999999,90.81783289046354,0.3983093464196049,0.8987100414592873,0.00411571362282826,0.9108604500206376,0.003784430057055156,1129.0,3
501_fold_d16_cfg21_s2026,fold_test,"11,13,16",pirnet_dual_branch,2026,5.0,0.7599999999999999,76.82314732801889,0.8837690904691845,0.7616755344023335,0.008367830771539417,0.7771632227910964,0.008660555445583225,1129.0,3
501_fold_d16_cfg21_s2026,fold_test,"11,13,16",pirnet_dual_branch,2026,0.0,0.7599999999999999,33.7466784765279,0.2607546757108895,0.2872398275657172,0.003953189877446018,0.21300226453551638,0.005165831523206065,1129.0,3
501_fold_d16_cfg21_s2026,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,2026,clean,0.7599999999999999,93.86503067484662,0.0,0.9386438919931743,0.0,0.938688795280218,0.0,1467.0,1
501_fold_d16_cfg21_s2026,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,2026,10.0,0.7599999999999999,92.79709157009772,0.12853565665740357,0.9279686984076965,0.001284617464359553,0.9279967249301128,0.0012890258713687053,1467.0,3
501_fold_d16_cfg21_s2026,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,2026,5.0,0.7599999999999999,82.29947739150192,0.7597479435264931,0.8212826254710835,0.007930573598273745,0.8200343187192013,0.008081655363936657,1467.0,3
501_fold_d16_cfg21_s2026,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,2026,0.0,0.7599999999999999,48.8525335151102,0.3261236104159803,0.37011514654452937,0.005959249704609864,0.35056839560455266,0.006274557866509388,1467.0,3
501_fold_d16_cfg21_s2026,config_2_2_mix,"12,14,15",pirnet_dual_branch,2026,clean,0.7599999999999999,98.92952720785013,0.0,0.9880258070029267,0.0,0.9893300519435857,0.0,1121.0,1
501_fold_d16_cfg21_s2026,config_2_2_mix,"12,14,15",pirnet_dual_branch,2026,10.0,0.7599999999999999,95.45049063336307,0.0728364478972086,0.9501885738491508,0.0007740864932805879,0.9550936557075042,0.0007099936315381943,1121.0,3
501_fold_d16_cfg21_s2026,config_2_2_mix,"12,14,15",pirnet_dual_branch,2026,5.0,0.7599999999999999,89.6818316978888,0.29436499960189255,0.8906979686906631,0.0029560545440683685,0.8993495200767648,0.0028304838068458865,1121.0,3
501_fold_d16_cfg21_s2026,config_2_2_mix,"12,14,15",pirnet_dual_branch,2026,0.0,0.7599999999999999,38.80463871543265,0.3174867157904012,0.33818065443897033,0.0045664361521535815,0.2774131443543615,0.00562815360426754,1121.0,3
