exp_id,model,fold,seed,accuracy_pct,macro_f1,weighted_f1
401,WDCNN,d15_cfg22,3407,70.11596788581623,0.6637296118699996,0.7012597592511788
401,WDCNN,d16_cfg21,3407,99.1142604074402,0.9895648476782016,0.991156979986896
401,WDCNN,d17_cfg21,3407,99.37722419928826,0.9925771834241374,0.9937642926010728
402,InceptionTime,d15_cfg22,3407,63.42551293487957,0.5210480025343471,0.5989428145626375
402,InceptionTime,d16_cfg21,3407,98.93711248892826,0.987310044060786,0.989316766713586
402,InceptionTime,d17_cfg21,3407,96.26334519572951,0.9567684389823988,0.9631151196895332
403,ResNet1D,d15_cfg22,3407,64.31757359500446,0.5284130109209618,0.606235835307772
403,ResNet1D,d16_cfg21,3407,98.3170947741364,0.9800258301930188,0.983135845983012
403,ResNet1D,d17_cfg21,3407,91.54804270462633,0.905759208511502,0.9178232137845576
404,CNN-BiLSTM-Attn,d15_cfg22,3407,64.049955396967,0.6183599283964989,0.6491094083592364
404,CNN-BiLSTM-Attn,d16_cfg21,3407,99.02568644818425,0.9883774361853958,0.9902113276728975
404,CNN-BiLSTM-Attn,d17_cfg21,3407,98.84341637010677,0.9863966984157722,0.9884950534682144
