exp_id,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
401,WDCNN,89.53581749751488,13.732326986462768,0.8819572143241129,0.15431511785156685
402,InceptionTime,86.20865687317912,16.14705326407889,0.821708828525844,0.21296462401786814
403,ResNet1D,84.72757035792239,14.694239061089554,0.8047326832084942,0.19772591086958966
404,CNN-BiLSTM-Attn,87.30635273841933,16.444924618717963,0.8643780209992222,0.1739629409700806
