experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
404_fold_d15_cfg22_s2026,fold_test,"12,14,15",signal_cnn_bilstm_attn,2026,clean,0.58,65.47725245316681,0.0,0.6331759757901065,0.0,0.6629506293860095,0.0,1121.0,1
404_fold_d15_cfg22_s2026,fold_test,"12,14,15",signal_cnn_bilstm_attn,2026,10.0,0.58,64.61492714837942,0.2943649996018968,0.595588711016379,0.0040747713368807234,0.6434221808367747,0.003292795000699876,1121.0,3
404_fold_d15_cfg22_s2026,fold_test,"12,14,15",signal_cnn_bilstm_attn,2026,5.0,0.58,62.4145108534047,0.21026071400135105,0.5020902099112552,0.0009930709179250966,0.5845541429394928,0.0010425413355961513,1121.0,3
404_fold_d15_cfg22_s2026,fold_test,"12,14,15",signal_cnn_bilstm_attn,2026,0.0,0.58,66.69640202200416,0.22251902389378211,0.4134043996726733,0.0032559772261376795,0.54241662112497,0.0023569088920309808,1121.0,3
404_fold_d15_cfg22_s2026,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,2026,clean,0.58,99.52283571915473,0.0,0.9952069676100416,0.0,0.9952298850187977,0.0,1467.0,1
404_fold_d15_cfg22_s2026,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,2026,10.0,0.58,99.56827993637809,0.06426782832870848,0.9956624298914353,0.0006453740277248002,0.9956837042101454,0.0006423828028629921,1467.0,3
404_fold_d15_cfg22_s2026,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,2026,5.0,0.58,98.93206089525108,0.11586047520093222,0.9892531416997561,0.0011683865417049801,0.9893140766499683,0.0011606619041499798,1467.0,3
404_fold_d15_cfg22_s2026,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,2026,0.0,0.58,67.41649625085209,0.1472560940333516,0.6130484615444205,0.002289084667468811,0.624055328662917,0.0021830452623693123,1467.0,3
404_fold_d15_cfg22_s2026,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,2026,clean,0.58,65.47725245316681,0.0,0.6331759757901065,0.0,0.6629506293860095,0.0,1121.0,1
404_fold_d15_cfg22_s2026,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,2026,10.0,0.58,64.31757359500445,0.0728364478972086,0.592978020666123,0.0013140284364157309,0.6407939397791291,0.0009568472692521712,1121.0,3
404_fold_d15_cfg22_s2026,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,2026,5.0,0.58,62.56318763009218,0.3442116236333722,0.5076469790121261,0.006828787234295926,0.5882694408906904,0.005052289888838576,1121.0,3
404_fold_d15_cfg22_s2026,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,2026,0.0,0.58,66.5477252453167,0.25231285680161725,0.4095742565917377,0.0048710788801398985,0.5396046646033938,0.0036914175373665096,1121.0,3
