experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
404_fold_d16_cfg21_s3407,fold_test,"11,13,16",signal_cnn_bilstm_attn,3407,clean,0.82,99.02568644818423,0.0,0.9883774361853958,0.0,0.9902113276728977,0.0,1129.0,1
404_fold_d16_cfg21_s3407,fold_test,"11,13,16",signal_cnn_bilstm_attn,3407,10.0,0.82,42.13167995276055,0.15054678221413517,0.4047505090733429,0.0018548599027606797,0.3657873392579319,0.0023273172961843255,1129.0,3
404_fold_d16_cfg21_s3407,fold_test,"11,13,16",signal_cnn_bilstm_attn,3407,5.0,0.82,38.91349276645999,0.08350832963525735,0.36394674802075405,0.0010902231443405258,0.31428167418828634,0.0013840202094229433,1129.0,3
404_fold_d16_cfg21_s3407,fold_test,"11,13,16",signal_cnn_bilstm_attn,3407,0.0,0.82,36.935341009743134,0.07232033489173775,0.33765026241536256,0.0009796908915461104,0.2807908604361203,0.0012517488053774314,1129.0,3
404_fold_d16_cfg21_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,clean,0.82,99.1138377641445,0.0,0.9910806696396208,0.0,0.9911320199802273,0.0,1467.0,1
404_fold_d16_cfg21_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,10.0,0.82,55.30561236082709,0.06426782832869844,0.4875014199529733,0.0010076411036118078,0.4743822382991613,0.0010570425243974588,1467.0,3
404_fold_d16_cfg21_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,5.0,0.82,52.7834583049307,0.06426782832869843,0.44673156423668375,0.001072739217261472,0.4315699644167385,0.001127621086862327,1467.0,3
404_fold_d16_cfg21_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,0.0,0.82,51.37468757100658,0.032133914164350894,0.42279438846986395,0.0005564108564423531,0.4063948507844139,0.0005855041868486652,1467.0,3
404_fold_d16_cfg21_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,clean,0.82,96.69937555753792,0.0,0.9618390703074899,0.0,0.9665308348110299,0.0,1121.0,1
404_fold_d16_cfg21_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,10.0,0.82,40.7969075230449,0.27575434122794185,0.38272862224063414,0.003247945279174235,0.3409744337664455,0.0037662983915312965,1121.0,3
404_fold_d16_cfg21_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,5.0,0.82,38.03151947665774,0.1833010408257195,0.3432412334865143,0.0022965632915738165,0.2910426971963548,0.0027162987821728987,1121.0,3
404_fold_d16_cfg21_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,0.0,0.82,35.56348498364556,0.08410428560053908,0.3010248225422621,0.001267968583118759,0.23566802482049753,0.001582930740410638,1121.0,3
