experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
501_fold_d17_cfg21_s2026,fold_test,"11,13,17",pirnet_dual_branch,2026,clean,0.06,91.90391459074732,0.0,0.9094952798342877,0.0,0.9212093949049375,0.0,1124.0,1
501_fold_d17_cfg21_s2026,fold_test,"11,13,17",pirnet_dual_branch,2026,10.0,0.06,92.52669039145907,0.12581971195489913,0.9162953935273824,0.0013327851899272924,0.9272177411356054,0.0012003678792227703,1124.0,3
501_fold_d17_cfg21_s2026,fold_test,"11,13,17",pirnet_dual_branch,2026,5.0,0.06,90.80664294187426,0.18281180317227083,0.8958687270310225,0.00215624051991623,0.9100736549877174,0.001818063826872546,1124.0,3
501_fold_d17_cfg21_s2026,fold_test,"11,13,17",pirnet_dual_branch,2026,0.0,0.06,81.79122182680901,0.18281180317227083,0.7884656706244574,0.0024780997345442363,0.8199223241388186,0.0019454330009342862,1124.0,3
501_fold_d17_cfg21_s2026,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,2026,clean,0.06,93.72869802317655,0.0,0.9372715610998532,0.0,0.9373419527890184,0.0,1467.0,1
501_fold_d17_cfg21_s2026,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,2026,10.0,0.06,94.2285844126335,0.06426782832870848,0.9422699503215113,0.0006416315754134426,0.9423384589931524,0.0006435462401321486,1467.0,3
501_fold_d17_cfg21_s2026,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,2026,5.0,0.06,92.13815042035901,0.08501834552996838,0.9212679607357618,0.0008398217421184633,0.9214816774679763,0.0008485277067211548,1467.0,3
501_fold_d17_cfg21_s2026,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,2026,0.0,0.06,79.82276755282889,0.6020286889112366,0.7957072861270013,0.005941146919119012,0.7973305345136027,0.005942983975951846,1467.0,3
501_fold_d17_cfg21_s2026,config_2_2_mix,"12,14,15",pirnet_dual_branch,2026,clean,0.06,98.48349687778769,0.0,0.9829583002833875,0.0,0.9848501032012196,0.0,1121.0,1
501_fold_d17_cfg21_s2026,config_2_2_mix,"12,14,15",pirnet_dual_branch,2026,10.0,0.06,98.92952720785013,0.14567289579441722,0.9879988063180566,0.0016391126318927123,0.9893183297913811,0.0014561853232108511,1121.0,3
501_fold_d17_cfg21_s2026,config_2_2_mix,"12,14,15",pirnet_dual_branch,2026,5.0,0.06,95.48022598870057,0.2557931985442324,0.9492935184099475,0.002748783076173313,0.9548841652371597,0.002500376296196396,1121.0,3
501_fold_d17_cfg21_s2026,config_2_2_mix,"12,14,15",pirnet_dual_branch,2026,0.0,0.06,83.8537020517395,0.3337785358406681,0.8145048589187743,0.004489389500293965,0.8368376461250889,0.003679627623708898,1121.0,3
