experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
404_fold_d15_cfg22_s3407,fold_test,"12,14,15",signal_cnn_bilstm_attn,3407,clean,0.82,66.63693131132918,0.0,0.6538729533911458,0.0,0.6758735867047829,0.0,1121.0,1
404_fold_d15_cfg22_s3407,fold_test,"12,14,15",signal_cnn_bilstm_attn,3407,10.0,0.82,65.5069878085043,0.04205214280027289,0.6441466035470913,0.0006809296603954472,0.664996368573436,0.00041227635376665155,1121.0,3
404_fold_d15_cfg22_s3407,fold_test,"12,14,15",signal_cnn_bilstm_attn,3407,5.0,0.82,59.82753493904252,0.3666020816514382,0.5901944027300624,0.003196000970436044,0.6094302942883517,0.0036752447178212354,1121.0,3
404_fold_d15_cfg22_s3407,fold_test,"12,14,15",signal_cnn_bilstm_attn,3407,0.0,0.82,57.47844186738032,0.4957874516959032,0.5603293464757294,0.005343011589122363,0.5869678262817432,0.004833861581813251,1121.0,3
404_fold_d15_cfg22_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,clean,0.82,99.04567143830948,0.0,0.9903935024940036,0.0,0.9904492776902606,0.0,1467.0,1
404_fold_d15_cfg22_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,10.0,0.82,93.84230856623496,0.17891406212251415,0.9383757064694556,0.0017844204865194759,0.9384977478740822,0.001788915581199827,1467.0,3
404_fold_d15_cfg22_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,5.0,0.82,83.66280390820269,0.5462765407939651,0.8357170430615438,0.005633573246793565,0.8348438408153992,0.005729232906947343,1467.0,3
404_fold_d15_cfg22_s3407,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,3407,0.0,0.82,85.73051579186547,0.3261236104159805,0.8569069568879127,0.003333622531970781,0.856368407360709,0.0033885442893819046,1467.0,3
404_fold_d15_cfg22_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,clean,0.82,66.63693131132918,0.0,0.6538729533911458,0.0,0.6758735867047829,0.0,1121.0,1
404_fold_d15_cfg22_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,10.0,0.82,65.17989889979185,0.11125951194689106,0.6407368910315374,0.000810954655534417,0.6618208429233673,0.0010771224355070677,1121.0,3
404_fold_d15_cfg22_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,5.0,0.82,59.23282783229259,0.12615642840081195,0.5847118977198371,0.000849768579976875,0.6034671231969132,0.0014956026317072908,1121.0,3
404_fold_d15_cfg22_s3407,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,3407,0.0,0.82,58.10288432946774,0.40115187520761364,0.5658852771111166,0.003932978160419335,0.5930022502369147,0.0038809142005755896,1121.0,3
