experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
501_fold_d15_cfg22_s4096,fold_test,"12,14,15",pirnet_dual_branch,4096,clean,0.82,69.22390722569135,0.0,0.67613121063593,0.0,0.7002930030674053,0.0,1121.0,1
501_fold_d15_cfg22_s4096,fold_test,"12,14,15",pirnet_dual_branch,4096,10.0,0.82,65.95301813856675,0.3737676208735193,0.6432706589154701,0.003775127419378176,0.6687473551405602,0.0036105412903878263,1121.0,3
501_fold_d15_cfg22_s4096,fold_test,"12,14,15",pirnet_dual_branch,4096,5.0,0.82,57.32976509069283,0.6922656394185464,0.5429996046298816,0.006403214550555808,0.5823580996212446,0.006465358351678261,1121.0,3
501_fold_d15_cfg22_s4096,fold_test,"12,14,15",pirnet_dual_branch,4096,0.0,0.82,65.29884032114184,0.26261554761605654,0.5136124074379155,0.006614953696971244,0.6007084633505323,0.0047747950774743265,1121.0,3
501_fold_d15_cfg22_s4096,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,4096,clean,0.82,99.93183367416496,0.0,0.9993148935236189,0.0,0.9993183698495153,0.0,1467.0,1
501_fold_d15_cfg22_s4096,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,4096,10.0,0.82,90.09316064530789,0.3065380041634157,0.900888956128116,0.0030712198384028437,0.9007420242340145,0.0030837262656121635,1467.0,3
501_fold_d15_cfg22_s4096,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,4096,5.0,0.82,79.32288116337196,0.22493739915046151,0.7905988886510066,0.002384171832276616,0.7889195704399271,0.002436887963799964,1467.0,3
501_fold_d15_cfg22_s4096,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,4096,0.0,0.82,91.20654396728015,0.7651651097697219,0.9101576698734064,0.007900435983053037,0.9110945101600274,0.007798165044439887,1467.0,3
501_fold_d15_cfg22_s4096,config_2_2_mix,"12,14,15",pirnet_dual_branch,4096,clean,0.82,69.22390722569135,0.0,0.67613121063593,0.0,0.7002930030674053,0.0,1121.0,1
501_fold_d15_cfg22_s4096,config_2_2_mix,"12,14,15",pirnet_dual_branch,4096,10.0,0.82,65.86381207255427,0.4849689690841552,0.6425713853439347,0.004251975233320748,0.6679139825049268,0.004567108439682579,1121.0,3
501_fold_d15_cfg22_s4096,config_2_2_mix,"12,14,15",pirnet_dual_branch,4096,5.0,0.82,57.5676479333928,0.93654568825594,0.5447795596178141,0.008814915158764744,0.5844333825819307,0.008750858498083419,1121.0,3
501_fold_d15_cfg22_s4096,config_2_2_mix,"12,14,15",pirnet_dual_branch,4096,0.0,0.82,65.29884032114184,0.1927071275173318,0.513664291439169,0.0022129492908137915,0.6007417344882127,0.0019043448413200992,1121.0,3
