experiment,fold,seed,group,snr_db,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_repeats
404,d15_cfg22,2026,fold_test,clean,65.47725245316681,0.0,0.6331759757901065,0.0,0.6629506293860095,0.0,1
404,d15_cfg22,2026,fold_test,10.0,64.61492714837942,0.2943649996018968,0.595588711016379,0.0040747713368807234,0.6434221808367747,0.003292795000699876,3
404,d15_cfg22,2026,fold_test,5.0,62.4145108534047,0.21026071400135105,0.5020902099112552,0.0009930709179250966,0.5845541429394928,0.0010425413355961513,3
404,d15_cfg22,2026,fold_test,0.0,66.69640202200416,0.22251902389378211,0.4134043996726733,0.0032559772261376795,0.54241662112497,0.0023569088920309808,3
404,d15_cfg22,2026,config_2_1_mix,clean,99.52283571915473,0.0,0.9952069676100416,0.0,0.9952298850187977,0.0,1
404,d15_cfg22,2026,config_2_1_mix,10.0,99.56827993637809,0.06426782832870848,0.9956624298914353,0.0006453740277248002,0.9956837042101454,0.0006423828028629921,3
404,d15_cfg22,2026,config_2_1_mix,5.0,98.93206089525108,0.11586047520093222,0.9892531416997561,0.0011683865417049801,0.9893140766499683,0.0011606619041499798,3
404,d15_cfg22,2026,config_2_1_mix,0.0,67.41649625085209,0.1472560940333516,0.6130484615444205,0.002289084667468811,0.624055328662917,0.0021830452623693123,3
404,d15_cfg22,2026,config_2_2_mix,clean,65.47725245316681,0.0,0.6331759757901065,0.0,0.6629506293860095,0.0,1
404,d15_cfg22,2026,config_2_2_mix,10.0,64.31757359500445,0.0728364478972086,0.592978020666123,0.0013140284364157309,0.6407939397791291,0.0009568472692521712,3
404,d15_cfg22,2026,config_2_2_mix,5.0,62.56318763009218,0.3442116236333722,0.5076469790121261,0.006828787234295926,0.5882694408906904,0.005052289888838576,3
404,d15_cfg22,2026,config_2_2_mix,0.0,66.5477252453167,0.25231285680161725,0.4095742565917377,0.0048710788801398985,0.5396046646033938,0.0036914175373665096,3
404,d15_cfg22,3407,fold_test,clean,66.63693131132918,0.0,0.6538729533911458,0.0,0.6758735867047829,0.0,1
404,d15_cfg22,3407,fold_test,10.0,65.5069878085043,0.04205214280027289,0.6441466035470913,0.0006809296603954472,0.664996368573436,0.00041227635376665155,3
404,d15_cfg22,3407,fold_test,5.0,59.82753493904252,0.3666020816514382,0.5901944027300624,0.003196000970436044,0.6094302942883517,0.0036752447178212354,3
404,d15_cfg22,3407,fold_test,0.0,57.47844186738032,0.4957874516959032,0.5603293464757294,0.005343011589122363,0.5869678262817432,0.004833861581813251,3
404,d15_cfg22,3407,config_2_1_mix,clean,99.04567143830948,0.0,0.9903935024940036,0.0,0.9904492776902606,0.0,1
404,d15_cfg22,3407,config_2_1_mix,10.0,93.84230856623496,0.17891406212251415,0.9383757064694556,0.0017844204865194759,0.9384977478740822,0.001788915581199827,3
