experiment,fold,seed,accuracy_pct,macro_f1,weighted_f1,n_test_samples,decision_threshold,source_server,source_path,copied_path,sha256
402,d17_cfg21,2026,92.17081850533808,0.9124223052540241,0.9237886280685372,1124,0.74,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/402/logs/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,raw/402/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,63f2095d439247fc80982f077192a24d43c82a2206fce94597e498c665e9dcc9
402,d17_cfg21,3407,99.11032028469751,0.9893687456254847,0.9910802805048409,1124,0.8499999999999999,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/402/logs/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,raw/402/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,fa02bc81e00e6d65b6d8af3f15739547b3d1ec2bbba81ae81f9514f2c2a172c9
402,d17_cfg21,4096,79.53736654804271,0.7870672074274437,0.8038297894442751,1124,0.74,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/402/logs/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,raw/402/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,e4d527cf8177987a218d665ae324c4210a67327ca292c51f6ee1d31aed8ec74a
403,d15_cfg22,2026,61.462979482604815,0.5361912423859326,0.5999970063014279,1121,0.5599999999999999,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/403/logs/cv_fold_d15_cfg22/seed_2026/metrics_clean.json,raw/403/cv_fold_d15_cfg22/seed_2026/metrics_clean.json,0ee0edc5a1dd3240174e26b99cf6d43901b2d8741554e3a1dab99c5b2517842e
403,d15_cfg22,3407,66.72613737734166,0.6483443380001195,0.6756285242116057,1121,0.35999999999999993,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/403/logs/cv_fold_d15_cfg22/seed_3407/metrics_clean.json,raw/403/cv_fold_d15_cfg22/seed_3407/metrics_clean.json,7d0e277fc7bd3aed7f4cc94271ee06bfd59b600df77d7e687e72ffe681089e2b
403,d15_cfg22,4096,64.7636039250669,0.5701290695247387,0.6311902326491586,1121,0.5299999999999999,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/403/logs/cv_fold_d15_cfg22/seed_4096/metrics_clean.json,raw/403/cv_fold_d15_cfg22/seed_4096/metrics_clean.json,5fb2e0dd82ef4dce9f7b1022cbee5d81d3834c00554b29d35f79eaabf38cd3cd
403,d16_cfg21,2026,92.38263950398583,0.9152579946934786,0.9258312575164485,1129,0.5299999999999999,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/403/logs/cv_fold_d16_cfg21/seed_2026/metrics_clean.json,raw/403/cv_fold_d16_cfg21/seed_2026/metrics_clean.json,9e6fdb555972b94942967a5e6ed8cf767b7acca130812daa48abc79a57ecbceb
403,d16_cfg21,3407,98.93711248892826,0.9873100440607859,0.9893167667135859,1129,0.94,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/403/logs/cv_fold_d16_cfg21/seed_3407/metrics_clean.json,raw/403/cv_fold_d16_cfg21/seed_3407/metrics_clean.json,c169d1b9b8ebecf593cf7edd230b95860d80a64c73d0ed73b4268c296484d7c6
403,d16_cfg21,4096,92.55978742249779,0.9172287390029326,0.9275561119928102,1129,0.69,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/403/logs/cv_fold_d16_cfg21/seed_4096/metrics_clean.json,raw/403/cv_fold_d16_cfg21/seed_4096/metrics_clean.json,079bac0a701f25fb2b2fb6ed78a484adec335b1d6e6ea44ee990b8ef3ca10b6d
403,d17_cfg21,2026,92.17081850533808,0.9126475274036236,0.9238607169812236,1124,0.9099999999999999,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/403/logs/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,raw/403/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,e60b869214fdd81b419b8d7c4204200d6e87eb008655bf74ec21041be8d965a4
403,d17_cfg21,3407,92.70462633451957,0.9176318348204072,0.9287309505548947,1124,0.7999999999999999,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/403/logs/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,raw/403/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,8f0f4711fbdd983b1976e54049df101c5357fb2131288148f5b5fa2ca357e90b
403,d17_cfg21,4096,92.61565836298932,0.9174517387499547,0.9281360415067011,1124,0.82,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/403/logs/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,raw/403/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,1144ed94d7998dbb2594b8738d9e478135bde5d5d74be20cd1d57234a3052154
404,d15_cfg22,2026,65.47725245316681,0.6331759757901065,0.6629506293860095,1121,0.58,D,E:/Desktop/GPT_Codex/2modify/huichuan/D/zenodo_experiment/404/logs/cv_fold_d15_cfg22/seed_2026/metrics_clean.json,raw/404/cv_fold_d15_cfg22/seed_2026/metrics_clean.json,f779b1c440c3b1a3b759e14605b6c189168eb9b01dd1d49974dde4c6c62537bb
404,d15_cfg22,3407,66.63693131132918,0.6538729533911458,0.6758735867047829,1121,0.82,D,E:/Desktop/GPT_Codex/2modify/huichuan/D/zenodo_experiment/404/logs/cv_fold_d15_cfg22/seed_3407/metrics_clean.json,raw/404/cv_fold_d15_cfg22/seed_3407/metrics_clean.json,429f3c9f02c1711e824f55ebd84b37aa756f2153e96776beeb166f4e45ad6392
404,d15_cfg22,4096,66.81534344335415,0.6590677201198216,0.6776859871561328,1121,0.42999999999999994,D,E:/Desktop/GPT_Codex/2modify/huichuan/D/zenodo_experiment/404/logs/cv_fold_d15_cfg22/seed_4096/metrics_clean.json,raw/404/cv_fold_d15_cfg22/seed_4096/metrics_clean.json,d24b721961c002d847f48cb924ca9beadacb75f682640a39b5fda94d968ca616
404,d16_cfg21,2026,92.20549158547388,0.9133954909030049,0.9241409397926914,1129,0.7999999999999999,E,E:/Desktop/GPT_Codex/2modify/huichuan/E/zenodo_experiment/404/logs/cv_fold_d16_cfg21/seed_2026/metrics_clean.json,raw/404/cv_fold_d16_cfg21/seed_2026/metrics_clean.json,ee2fa3a41fb8cb5b41d8e907fd859cca989220aef09e407417f8519f90485dbb
404,d16_cfg21,3407,99.02568644818423,0.9883774361853958,0.9902113276728977,1129,0.82,E,E:/Desktop/GPT_Codex/2modify/huichuan/E/zenodo_experiment/404/logs/cv_fold_d16_cfg21/seed_3407/metrics_clean.json,raw/404/cv_fold_d16_cfg21/seed_3407/metrics_clean.json,1297f101baabac01297d1854b7ff738731eb917321573e31004c45275ba38523
404,d16_cfg21,4096,92.29406554472985,0.9140012870519942,0.9248807930935322,1129,0.7899999999999999,E,E:/Desktop/GPT_Codex/2modify/huichuan/E/zenodo_experiment/404/logs/cv_fold_d16_cfg21/seed_4096/metrics_clean.json,raw/404/cv_fold_d16_cfg21/seed_4096/metrics_clean.json,fb23b9989ab901da0a6e30e27937f8d0fea81198cc42afb8197660da322ce708
404,d17_cfg21,2026,92.25978647686833,0.9136952751631651,0.9247433642027001,1124,0.8499999999999999,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/404/logs/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,raw/404/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,619aadae372a545d92d2355fcf50797d4ac3664946e6ec63a7bd78361bf1faf4
404,d17_cfg21,3407,96.26334519572953,0.9570265989404119,0.963213471234904,1124,0.82,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/404/logs/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,raw/404/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,bbb773f672430cea2190bfaa29eee0ac8cc6c049f41b76e18ae2b5ee931f2abf
404,d17_cfg21,4096,92.61565836298932,0.9174517387499547,0.9281360415067011,1124,0.8599999999999999,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/404/logs/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,raw/404/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,78538978c9f7a97df49662d22307da9428fdf3cf348a145a3ec16638feaf210c
501,d15_cfg22,2026,67.9750223015165,0.6716566109010211,0.6889015230760438,1121,0.7799999999999999,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/501/logs/cv_fold_d15_cfg22/seed_2026/metrics_clean.json,raw/501/cv_fold_d15_cfg22/seed_2026/metrics_clean.json,37452a8c0a74829deba8f57fce472edbf18208b8a7be326db36100e46cafedc4
501,d15_cfg22,3407,67.1721677074041,0.6447276861069964,0.677487383882536,1121,0.7499999999999999,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/501/logs/cv_fold_d15_cfg22/seed_3407/metrics_clean.json,raw/501/cv_fold_d15_cfg22/seed_3407/metrics_clean.json,8e5b1d91dc2917ce27f3e9b59d030187dde637bf683c1cfbcaa2b59d73d18011
501,d15_cfg22,4096,69.22390722569135,0.67613121063593,0.7002930030674053,1121,0.82,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/501/logs/cv_fold_d15_cfg22/seed_4096/metrics_clean.json,raw/501/cv_fold_d15_cfg22/seed_4096/metrics_clean.json,5167e0a77904e9c6161f2ad94c4488400be92aac833d68328bc3ee6fa3c75f2f
501,d16_cfg21,2026,92.02834366696192,0.9116459368087149,0.9224856321015776,1129,0.7599999999999999,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/501/logs/cv_fold_d16_cfg21/seed_2026/metrics_clean.json,raw/501/cv_fold_d16_cfg21/seed_2026/metrics_clean.json,12ba9f199a57dbf1569951b745b5f2a8d0814e7604c349bba83b1e9dc7c08657
501,d16_cfg21,3407,79.36226749335695,0.7856300580955198,0.8018719354315565,1129,0.9299999999999999,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/501/logs/cv_fold_d16_cfg21/seed_3407/metrics_clean.json,raw/501/cv_fold_d16_cfg21/seed_3407/metrics_clean.json,68f930ca84c460fac8b4c857f6efd6c7c68c34fe28f335377852f3ee12de6407
501,d16_cfg21,4096,90.87688219663418,0.899669640677077,0.9115253386510311,1129,0.09,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/501/logs/cv_fold_d16_cfg21/seed_4096/metrics_clean.json,raw/501/cv_fold_d16_cfg21/seed_4096/metrics_clean.json,c615557535f12d07994b97769858940a2224573599151436eec23c7a6508e503
501,d17_cfg21,2026,91.90391459074732,0.9094952798342877,0.9212093949049375,1124,0.06,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/501/logs/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,raw/501/cv_fold_d17_cfg21/seed_2026/metrics_clean.json,5bea6737895865c0fd0d038efa6d9e753b5fbfbf72a5a981bca3b3417cce0257
501,d17_cfg21,3407,89.23487544483986,0.882126684087137,0.8959619938208083,1124,0.73,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/501/logs/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,raw/501/cv_fold_d17_cfg21/seed_3407/metrics_clean.json,da394defd3b702651b1ed240628389e10b06df252abb4d1c91bc63a727507608
501,d17_cfg21,4096,90.83629893238434,0.8985857258612004,0.9111364823977737,1124,0.27999999999999997,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/501/logs/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,raw/501/cv_fold_d17_cfg21/seed_4096/metrics_clean.json,c8b740a206f006931de894edbf91b2ad6bfa0d77eecdd7bef0fa135abe2d2def
502,d15_cfg22,2026,69.22390722569135,0.6663969629870516,0.6974571904748663,1121,0.94,D,E:/Desktop/GPT_Codex/2modify/huichuan/D/zenodo_experiment/502/logs/cv_fold_d15_cfg22/seed_2026/metrics_clean.json,raw/502/cv_fold_d15_cfg22/seed_2026/metrics_clean.json,603600b729c79df52ce74b5171b513b1524756e7361a9469630a9fb05eb1717a
502,d15_cfg22,3407,67.61819803746654,0.6546351722610231,0.6834925045560799,1121,0.8799999999999999,D,E:/Desktop/GPT_Codex/2modify/huichuan/D/zenodo_experiment/502/logs/cv_fold_d15_cfg22/seed_3407/metrics_clean.json,raw/502/cv_fold_d15_cfg22/seed_3407/metrics_clean.json,ebcf8f76c0f73b53d334f9549c1b2bc5ba827c4e972c8cb8bc4703acd9c43f77
502,d15_cfg22,4096,69.31311329170383,0.6766613674628889,0.7010730751518458,1121,0.82,D,E:/Desktop/GPT_Codex/2modify/huichuan/D/zenodo_experiment/502/logs/cv_fold_d15_cfg22/seed_4096/metrics_clean.json,raw/502/cv_fold_d15_cfg22/seed_4096/metrics_clean.json,0e2dce80417e0d7dc3361fc842778eecb17edf00d39d530bea5614ac8c07992f
502,d16_cfg21,2026,89.45969884853852,0.8851371974026752,0.8980714179262572,1129,0.7999999999999999,E,E:/Desktop/GPT_Codex/2modify/huichuan/E/zenodo_experiment/502/logs/cv_fold_d16_cfg21/seed_2026/metrics_clean.json,raw/502/cv_fold_d16_cfg21/seed_2026/metrics_clean.json,640e859768bfc551916321ffed9dbcafcfe0558d3246132ec88b03ac61b8bdcb
