experiment,group,snr_db,n_fold_seed_runs,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
404,config_2_1_mix,0.0,9,67.27258956297811,18.10227927479066,0.6061754516876884,0.23224490654167768,0.6051985940068654,0.2352498951957815
404,config_2_1_mix,10.0,9,85.79110808149663,15.511008523879662,0.8459166744115494,0.17626836055019732,0.843281198964594,0.1808230435885418
404,config_2_1_mix,5.0,9,79.3834734530031,18.405160441602007,0.7676050376040984,0.2209570304222814,0.7630754771370026,0.2277774916453251
404,config_2_1_mix,clean,9,96.7280163599182,2.4688802236029366,0.9672498222302925,0.024675847953511125,0.9673052163014312,0.024664440906190143
404,config_2_2_mix,0.0,9,62.4541579938547,21.281999104454073,0.5234730379204992,0.23833318384805488,0.549310019338545,0.25203939266640124
404,config_2_2_mix,10.0,9,74.75468331846565,18.352012079823723,0.733489384836608,0.19254847065842057,0.7422592777434065,0.19771280754087792
404,config_2_2_mix,5.0,9,66.79221594475833,21.300109238417694,0.6342884436759771,0.22934852978400622,0.6404554428222273,0.24301350609287983
404,config_2_2_mix,clean,9,86.85697294082664,14.591184615399587,0.8614820540856075,0.15127013932412633,0.8716448933151822,0.14167994786831592
404,fold_test,0.0,9,60.5350066663638,21.200923056971916,0.5055637231120974,0.2320707207267746,0.5343096843346209,0.2506470428312868
404,fold_test,10.0,9,71.09680594867753,17.444201135658766,0.6954652225172145,0.17809587448369643,0.7051670791774441,0.1892378113377879
404,fold_test,5.0,9,64.38812356320692,20.214547272368794,0.6067429518527523,0.2114742367273502,0.6155883724144626,0.2344750121630547
404,fold_test,clean,9,84.8338171950903,13.297591872899254,0.838782821228195,0.1368358150149773,0.8523305278771494,0.12932329977915477
501,config_2_1_mix,0.0,9,60.445858264535836,14.716174112633837,0.5139619674849489,0.2033283331062342,0.5102029023566219,0.20644265698789557
501,config_2_1_mix,10.0,9,85.59165846146078,11.821769826150266,0.8490958836112508,0.1327553063583306,0.8473083492085903,0.1361036222003932
501,config_2_1_mix,5.0,9,69.55994849655382,16.249755331788137,0.6522937841289977,0.20100280024489042,0.6469664707384043,0.20679009206668056
501,config_2_1_mix,clean,9,94.19071423161402,4.692737387238463,0.9417774640937451,0.04717006853396711,0.9416945549157667,0.04740628697114361
501,config_2_2_mix,0.0,9,56.04123302606799,18.143765635797735,0.4651921226952119,0.18367218406822075,0.4765547509075981,0.2245263460953957
501,config_2_2_mix,10.0,9,81.21716721181485,13.67634560585037,0.8014069723031498,0.14445077782774707,0.8152554958917007,0.134937243996454
501,config_2_2_mix,5.0,9,63.79885684078369,17.675617837822717,0.610668702883447,0.18501986066899384,0.6168916768172914,0.19796084136191672
501,config_2_2_mix,clean,9,88.37347606303895,14.330713803528132,0.8768023491981122,0.1506133261944396,0.8862937377214023,0.1397252889964042
501,fold_test,0.0,9,52.794327274845536,17.66824134764495,0.4352412672986935,0.16190116888314235,0.4434361885632162,0.21452873554153523
501,fold_test,10.0,9,72.87983996324138,13.526832884299884,0.7155705944309284,0.1385575679492727,0.7294681282679772,0.14523357157458203
501,fold_test,5.0,9,57.74614909732534,17.85197733510364,0.5452087386129043,0.18339138522105075,0.5435624569594778,0.2145629952977586
501,fold_test,clean,9,82.06818661772628,10.51235666855575,0.8088520925564315,0.10866782191595505,0.8256525208148522,0.10277651389113028
