experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
501_fold_d16_cfg21_s4096,fold_test,"11,13,16",pirnet_dual_branch,4096,clean,0.09,90.87688219663418,0.0,0.899669640677077,0.0,0.9115253386510311,0.0,1129.0,1
501_fold_d16_cfg21_s4096,fold_test,"11,13,16",pirnet_dual_branch,4096,10.0,0.09,80.8680248007086,0.43990742325808563,0.8006237478630877,0.0042144106640801034,0.8163459808787082,0.004231055855094857,1129.0,3
501_fold_d16_cfg21_s4096,fold_test,"11,13,16",pirnet_dual_branch,4096,5.0,0.09,36.84676705048716,0.31523703135610603,0.33074280634208747,0.004411451902353169,0.2684006673656227,0.005653809094246496,1129.0,3
501_fold_d16_cfg21_s4096,fold_test,"11,13,16",pirnet_dual_branch,4096,0.0,0.09,31.620903454384415,0.07232033489174064,0.25359240855856496,0.0011307578574928949,0.16876400659450363,0.0014710768954475715,1129.0,3
501_fold_d16_cfg21_s4096,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,4096,clean,0.09,92.97886843899114,0.0,0.9297885538907618,0.0,0.9297954050961177,0.0,1467.0,1
501_fold_d16_cfg21_s4096,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,4096,10.0,0.09,85.25335151102023,0.425091727649842,0.8516849102086145,0.0043578830827534455,0.8508829223816106,0.004420862007375837,1467.0,3
501_fold_d16_cfg21_s4096,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,4096,5.0,0.09,51.37468757100658,0.1400684845028154,0.41409213836600073,0.002486658364185398,0.3967971585591043,0.0026190489578350813,1467.0,3
501_fold_d16_cfg21_s4096,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,4096,0.0,0.09,47.307430129516014,0.05565757197871295,0.3379938542674408,0.0007399006667351136,0.31659027868793777,0.0007689329217631171,1467.0,3
501_fold_d16_cfg21_s4096,config_2_2_mix,"12,14,15",pirnet_dual_branch,4096,clean,0.09,98.48349687778769,0.0,0.9831126376523402,0.0,0.984916755451436,0.0,1121.0,1
501_fold_d16_cfg21_s4096,config_2_2_mix,"12,14,15",pirnet_dual_branch,4096,10.0,0.09,95.3018138566756,0.11125951194689232,0.9487650596250544,0.0011829051528149783,0.9537031187108526,0.0010850387083144145,1121.0,3
501_fold_d16_cfg21_s4096,config_2_2_mix,"12,14,15",pirnet_dual_branch,4096,5.0,0.09,53.37496283080583,0.511586397088468,0.5259432402096352,0.005837088716658825,0.5056093811109501,0.006900383980133088,1121.0,3
501_fold_d16_cfg21_s4096,config_2_2_mix,"12,14,15",pirnet_dual_branch,4096,0.0,0.09,35.02824858757062,0.11125951194689106,0.2795092516880682,0.0017918975537477998,0.20397018032784978,0.002248178915563513,1121.0,3
