experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
404_fold_d16_cfg21_s2026,fold_test,"11,13,16",signal_cnn_bilstm_attn,2026,clean,0.7999999999999999,92.20549158547388,0.0,0.9133954909030049,0.0,0.9241409397926914,0.0,1129.0,1
404_fold_d16_cfg21_s2026,fold_test,"11,13,16",signal_cnn_bilstm_attn,2026,10.0,0.7999999999999999,73.72305875405965,0.32611045223463886,0.7326148047225632,0.0030852568729136777,0.7463953866056893,0.003267816872160712,1129.0,3
404_fold_d16_cfg21_s2026,fold_test,"11,13,16",signal_cnn_bilstm_attn,2026,5.0,0.7999999999999999,50.66430469441985,0.5785626791339078,0.5016609299360626,0.006354820160253482,0.48213475075366113,0.0075955714468433615,1129.0,3
404_fold_d16_cfg21_s2026,fold_test,"11,13,16",signal_cnn_bilstm_attn,2026,0.0,0.7999999999999999,36.72866843814585,0.22094227261729868,0.32890149757444403,0.002827941575954361,0.2659252456752208,0.003469719169108729,1129.0,3
404_fold_d16_cfg21_s2026,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,2026,clean,0.7999999999999999,93.93319700068167,0.0,0.9393206917914252,0.0,0.93937990242223,0.0,1467.0,1
404_fold_d16_cfg21_s2026,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,2026,10.0,0.7999999999999999,79.64099068393547,0.2801369690056316,0.7929450551305247,0.003002488822303489,0.7910284081761051,0.003071933837592106,1467.0,3
404_fold_d16_cfg21_s2026,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,2026,5.0,0.7999999999999999,62.508520790729385,0.24260573169805422,0.5877047913230823,0.003432036819530696,0.5788196171702646,0.003589073271856207,1467.0,3
404_fold_d16_cfg21_s2026,config_2_1_mix,"11,13,16,17",signal_cnn_bilstm_attn,2026,0.0,0.7999999999999999,51.102022267666435,0.14006848450282156,0.4094695562149149,0.002521218117634136,0.39194208590098256,0.0026553126098371417,1467.0,3
404_fold_d16_cfg21_s2026,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,2026,clean,0.7999999999999999,96.52096342551295,0.0,0.9615928946986967,0.0,0.9655355613663196,0.0,1121.0,1
404_fold_d16_cfg21_s2026,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,2026,10.0,0.7999999999999999,82.06958073148975,0.7708285100693227,0.8160658030008717,0.007450903517005965,0.8258167692391515,0.007517983221237172,1121.0,3
404_fold_d16_cfg21_s2026,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,2026,5.0,0.7999999999999999,54.62384775498068,0.21026071400135105,0.5400839364454111,0.002223544770711555,0.5222871049785874,0.00244558326056581,1121.0,3
404_fold_d16_cfg21_s2026,config_2_2_mix,"12,14,15",signal_cnn_bilstm_attn,2026,0.0,0.7999999999999999,40.142729705619985,0.3784692852024359,0.35739982859962965,0.005712129229085261,0.3011410193305932,0.0072002583918124525,1121.0,3
