experiment,group,test_ids,model,seed,snr_db,decision_threshold,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_test_samples_mean,n_repeats
501_fold_d15_cfg22_s3407,fold_test,"12,14,15",pirnet_dual_branch,3407,clean,0.7499999999999999,67.1721677074041,0.0,0.6447276861069964,0.0,0.677487383882536,0.0,1121.0,1
501_fold_d15_cfg22_s3407,fold_test,"12,14,15",pirnet_dual_branch,3407,10.0,0.7499999999999999,66.66666666666667,0.3442116236333656,0.616345193181593,0.0031220634455868,0.6628246652651409,0.0030812584754228256,1121.0,3
501_fold_d15_cfg22_s3407,fold_test,"12,14,15",pirnet_dual_branch,3407,5.0,0.7499999999999999,65.41778174249183,0.042052142800266194,0.538070441860392,0.0010990299391712712,0.615541140434249,0.0005155697958828005,1121.0,3
501_fold_d15_cfg22_s3407,fold_test,"12,14,15",pirnet_dual_branch,3407,0.0,0.7499999999999999,66.90454950936663,0.2185093436916258,0.435888654537822,0.002609614415881613,0.5572066921517955,0.0017743739912882536,1121.0,3
501_fold_d15_cfg22_s3407,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,3407,clean,0.7499999999999999,98.7048398091343,0.0,0.9869669083007697,0.0,0.9870406706112024,0.0,1467.0,1
501_fold_d15_cfg22_s3407,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,3407,10.0,0.7499999999999999,95.79640990683934,0.16066957082175445,0.9578315157119327,0.0016210370630768463,0.9580004480433145,0.0016085338278218281,1467.0,3
501_fold_d15_cfg22_s3407,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,3407,5.0,0.7499999999999999,62.14496705294251,0.2317209504018505,0.5517837162798501,0.002498295293051675,0.5644309978446617,0.0024187120285736083,1467.0,3
501_fold_d15_cfg22_s3407,config_2_1_mix,"11,13,16,17",pirnet_dual_branch,3407,0.0,0.7499999999999999,53.7605089752329,0.1606695708217578,0.3735516814554714,0.0022585968386468484,0.39649600908039045,0.00197376967954618,1467.0,3
501_fold_d15_cfg22_s3407,config_2_2_mix,"12,14,15",pirnet_dual_branch,3407,clean,0.7499999999999999,67.1721677074041,0.0,0.6447276861069964,0.0,0.677487383882536,0.0,1121.0,1
501_fold_d15_cfg22_s3407,config_2_2_mix,"12,14,15",pirnet_dual_branch,3407,10.0,0.7499999999999999,66.66666666666667,0.11125951194689106,0.6159595224483889,0.0013870238695462664,0.6626414134590218,0.0011758246689995578,1121.0,3
501_fold_d15_cfg22_s3407,config_2_2_mix,"12,14,15",pirnet_dual_branch,3407,5.0,0.7499999999999999,65.06095747844186,0.16820857120108484,0.5306621625223551,0.004147525453130698,0.6100321127902213,0.002977329199001598,1121.0,3
501_fold_d15_cfg22_s3407,config_2_2_mix,"12,14,15",pirnet_dual_branch,3407,0.0,0.7499999999999999,67.14243235206662,0.29436499960189255,0.4399217932385837,0.007821682112116153,0.5603768418151907,0.005708984757422226,1121.0,3
